id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,link
13092,Men,Apparel,Topwear,Jackets,White,Fall,2011.0,Casual,ADIDAS Men Bnce T-Top White Jackets,http://assets.myntassets.com/v1/images/style/properties/e7069112b004275bf247cfc8a503a606_images.jpg
37485,Unisex,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Esprit Unisex Black Dial Watch,http://assets.myntassets.com/v1/images/style/properties/10a51c6b424cbb1fe41fbf109c094928_images.jpg
27841,Men,Accessories,Belts,Belts,White,Summer,2012.0,Casual,Bulchee Men Plain Jeans White Belt,http://assets.myntassets.com/v1/images/style/properties/8e033a452f0390d83a7c343f07177be0_images.jpg
9931,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Basics Men Blue T-shirt,http://assets.myntassets.com/v1/images/style/properties/b9e72ad37e132fb0be196c53424c6354_images.jpg
37760,Men,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Casual,John Players Men Check Blue Shirt,http://assets.myntassets.com/v1/images/style/properties/38000668c7a7ce441c400c4f43b53700_images.jpg
13898,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011.0,Sports,Nike Men Ballista Sl White Sports Shoes,http://assets.myntassets.com/v1/images/style/properties/3b44311eca5e412e659a46bca5043684_images.jpg
3476,Men,Apparel,Topwear,Tshirts,Blue,Fall,2010.0,Sports,ADIDAS Men's Fresh Blue Sleeveless T-shirt,http://assets.myntassets.com/v1/images/style/properties/216f87049b08071a6e090b8f856dd9f3_images.jpg
6020,Men,Apparel,Topwear,Tshirts,Red,Summer,2011.0,Casual,UCB Men's Roundneck With Sail Racing Print Red T-shirt,http://assets.myntassets.com/v1/images/style/properties/04aebe60a6adb415cb35e8a21d69f674_images.jpg
13432,Men,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,United Colors of Benetton Men Printed White Tshirts,http://assets.myntassets.com/v1/images/style/properties/147863ab60203bc11336c8fc4c29ee02_images.jpg
17373,Men,Accessories,Accessories,Accessory Gift Set,Purple,Fall,2011.0,Formal,Arrow Men Formal Purple Tie+Cufflink+Pocket square - Combo Pack,http://assets.myntassets.com/v1/images/style/properties/6a05657727486ced4bb06e924e63ee59_images.jpg
51686,Men,Accessories,Eyewear,Sunglasses,Gold,Winter,2016.0,Casual,Louis Philippe Men Golden Sunglass,http://assets.myntassets.com/v1/image/style/properties/51686/Louis-Philippe-Men-Golden-Sunglass_1_4c553d3eeec6cf9a256e42d4f9a45eb6.jpg
49490,Men,Footwear,Shoes,Casual Shoes,Maroon,Summer,2012.0,Casual,Vans Men Grey & Maroon Mid Skool 77 Shoes,http://assets.myntassets.com/v1/images/style/properties/Vans-Men-Grey---Maroon-Casual-Shoes_fdd96d9b40b64721c5a0132562c08de9_images.jpg
1532,Men,Apparel,Topwear,Tshirts,Grey,Fall,2010.0,Casual,Puma Men Grey Leaping Cat T-shirt,http://assets.myntassets.com/v1/images/style/properties/5fd41c8046d45cbdc8b3b9690a6fd6be_images.jpg
57630,Women,Personal Care,Skin,Face Moisturisers,Cream,Spring,2017.0,Casual,Lotus Herbals Nutranite Skin Renewal Night Cream 50 g,http://assets.myntassets.com/assets/images/57630/2017/12/4/11512385328476-Lotus-Herbals-Nutranite-Skin-Renewal-Night-Cream-6921512385328411-1.jpg
51420,Men,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Casual,Myntra Men Blue Shirt,http://assets.myntassets.com/v1/images/style/properties/e1e9cbbf41993a7d5a9d6e4d2d663a4a_images.jpg
18406,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011.0,Casual,Skechers Men USA Black Shoe,http://assets.myntassets.com/v1/images/style/properties/86617f1b765545c807c73f9596d37e44_images.jpg
13136,Men,Footwear,Shoes,Casual Shoes,White,Fall,2012.0,Casual,iD Men White Casual Shoes,http://assets.myntassets.com/v1/images/style/properties/7b8ffd07da2a3656e3c4520e840226dd_images.jpg
15561,Men,Apparel,Bottomwear,Jeans,Blue,Fall,2011.0,Casual,Spykar Men Washed Blue Jeans,http://assets.myntassets.com/v1/images/style/properties/963db5d6b9fd8ee5370895dc485e82c5_images.jpg
58483,Men,Accessories,Wallets,Wallets,Brown,Winter,2016.0,Casual,Fossil Men Brown Wallet,http://assets.myntassets.com/v1/images/style/properties/Fossil-Men-Brown-Wallet_5d6b66fcb3a6ad74da0ad48cf16d572a_images.jpg
13191,Men,Footwear,Shoes,Casual Shoes,Green,Fall,2011.0,Casual,Puma Men Eco ortholite Green Casual Shoes,http://assets.myntassets.com/v1/images/style/properties/ec69a6944c5c5a0f1ab0f6813ff6fbcd_images.jpg
51548,Women,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Fastrack Women White Dial Watch,http://assets.myntassets.com/v1/images/style/properties/Fastrack-Women-White-Dial-Watch_74fe93410d6b3a5e7fa253ed6d2a6486_images.jpg
33328,Men,Apparel,Topwear,Shirts,Grey,Summer,2012.0,Casual,Arrow New York Men Grey Slim Fit Shirt,http://assets.myntassets.com/v1/images/style/properties/Arrow-New-York-Men-Grey-Shirt_5dc70f2114299ea4d0a5d6647f331d1f_images.jpg
43803,Women,Accessories,Jewellery,Earrings,Gold,Summer,2012.0,Casual,Royal Diadem Gold & Black Earrings,http://assets.myntassets.com/v1/images/style/properties/ae76d6c70bead6f6577cfec657347731_images.jpg
53990,Women,Accessories,Bags,Handbags,Beige,Summer,2012.0,Casual,Kiara Women Beige & Yellow Handbags,http://assets.myntassets.com/v1/images/style/properties/KIARA-Women-Beige---Yellow-Handbags_9b7a92f52e99507599a2848ecac378a5_images.jpg
21752,Women,Accessories,Bags,Handbags,Black,Winter,2015.0,Casual,Kiara Women Glossy Black Handbag,http://assets.myntassets.com/v1/images/style/properties/8ef0f056159e17db6375b370eed87bac_images.jpg
6038,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,UCB Men's Polo Neck Black T-shirt,http://assets.myntassets.com/v1/images/style/properties/a0ea9b333ad469fbc80ea5251aec45e7_images.jpg
59904,Women,Accessories,Scarves,Scarves,Pink,Fall,2012.0,Casual,Femella Women Pink Scarf,http://assets.myntassets.com/v1/images/style/properties/Femella-Women-Pink-Scarf_8ae25bb07a168cb42d54ec40d475e5ed_images.jpg
31596,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Mark Taylor Men Printed Black T-shirt,http://assets.myntassets.com/v1/images/style/properties/62ca7b4c1ef03a2c8bf0725cc013cf6c_images.jpg
36440,Men,Footwear,Shoes,Sports Shoes,Black,Spring,2013.0,Sports,Spinn Men Cubic Black Sports Shoes,http://assets.myntassets.com/v1/images/style/properties/9530a304381911dd1da8d518e36541a6_images.jpg
38302,Men,Accessories,Wallets,Wallets,Brown,Summer,2012.0,Casual,Reid & Taylor Men Brown Wallet,http://assets.myntassets.com/v1/images/style/properties/274a65ffa2d5c6f48cf6ba61ad06b513_images.jpg
34938,Women,Apparel,Topwear,Dupatta,Blue,Summer,2012.0,Ethnic,Fabindia Off White Chanderi Dupatta,http://assets.myntassets.com/v1/images/style/properties/f3e3192d5b0458d851ec66c4dc2f8da2_images.jpg
28409,Men,Accessories,Eyewear,Sunglasses,Black,Winter,2016.0,Casual,Idee Men Black Sunglasses,http://assets.myntassets.com/v1/images/style/properties/30375e2c37383365136a6b722c0f4eaf_images.jpg
32654,Women,Apparel,Topwear,Tshirts,Red,Summer,2012.0,Sports,Nike Women Sphere Red T-shirt,http://assets.myntassets.com/v1/images/style/properties/565b1b8533e218b85916307f8921f3dd_images.jpg
54882,Women,Accessories,Jewellery,Necklace and Chains,Red,Fall,2012.0,Casual,Ivory Tag Women Metal Charmed Turquoise Blue and Red Necklace,http://assets.myntassets.com/v1/images/style/properties/Ivory-Tag-Women-Metal-Charmed-Turquoise-Blue-and-Red-Necklace_4df938e34039d1db75445e3b36078da6_images.jpg
34177,Boys,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,Gini and Jony Boys White T-shirt,http://assets.myntassets.com/v1/images/style/properties/e7a57ddf7064a9f48f0177098d3506a8_images.jpg
44939,Men,Footwear,Shoes,Formal Shoes,Black,Summer,2013.0,Formal,Franco Leone Men Black Shoes,http://assets.myntassets.com/v1/images/style/properties/6f23614df445c7e6a9117633a255c5df_images.jpg
16993,Women,Accessories,Belts,Belts,Silver,Summer,2011.0,Casual,Puma Women Dizzy  Silver Belt,http://assets.myntassets.com/v1/images/style/properties/c9a9581bf1fe9f99164d92ed1a5d9889_images.jpg
36103,Men,Accessories,Wallets,Wallets,Brown,Fall,2012.0,Casual,OTLS Men Brown Zebra Wallet,http://assets.myntassets.com/v1/images/style/properties/OTLS-Men-Brown-Zebra-Wallet_5402e30cca7af4db375b0d6b02ebf898_images.jpg
21534,Women,Accessories,Bags,Handbags,Black,Winter,2015.0,Casual,Kiara Women Classic Black Handbag,http://assets.myntassets.com/v1/images/style/properties/3379e6086b2c253418b7f4840e2d702b_images.jpg
17718,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Casual,Reid & Taylor Men Check Red Shirt,http://assets.myntassets.com/v1/images/style/properties/16135b76383b2dddd6d7af08b2cf7a5a_images.jpg
17403,Men,Accessories,Socks,Socks,Navy Blue,Summer,2016.0,Casual,Reid & Taylor Men Solid Navy Blue Socks,http://assets.myntassets.com/v1/images/style/properties/19c91c19317cc31183460576ff00eabd_images.jpg
10161,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011.0,Sports,Puma Men Cabana Racer White Sports Shoes,http://assets.myntassets.com/v1/images/style/properties/ac2fdc8f7c496c562d9f908bec3dda4e_images.jpg
32979,Men,Apparel,Topwear,Tshirts,Red,Summer,2012.0,Casual,Mr. Men Printed Red T-shirt,http://assets.myntassets.com/v1/images/style/properties/4a663888d08442879bd21c832f165730_images.jpg
5349,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011.0,Sports,Artengo 522 C Men Whit Blue 09,http://assets.myntassets.com/v1/images/style/properties/2fa43338b6d887ca9fba200f030de96d_images.jpg
51400,Men,Apparel,Topwear,Shirts,Yellow,Summer,2012.0,Formal,Myntra Men Yellow Shirt,http://assets.myntassets.com/v1/images/style/properties/06f2ed1adb87f763952b6c756b3960f3_images.jpg
52472,Women,Apparel,Loungewear and Nightwear,Bath Robe,Pink,Winter,2015.0,Casual,Red Rose Women White & Pink Polka Dot Print Bath Robe,http://assets.myntassets.com/v1/images/style/properties/Red-Rose-Women-Bath-Robe_b47ef24153050e66fce7429a01204ca9_images.jpg
44883,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Casual,Puma Men Grey Striped Polo T-shirt,http://assets.myntassets.com/v1/images/style/properties/4130c6625f56eda6fc0cb383a048e8fb_images.jpg
36898,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Fossil Men Black Chronograph Watch FS4545,http://assets.myntassets.com/assets/images/36898/2016/5/20/11463745827152-Fossil-Men-Black-Chronograph-Watch-FS4545-4391463745827039-1.jpg
54657,Women,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Fastrack Women Black Dial Watch,http://assets.myntassets.com/v1/images/style/properties/Fastrack-Women-Black-Watch_e04881605ffa20b8d6592541bcff0f3f_images.jpg
41699,Men,Apparel,Loungewear and Nightwear,Lounge Pants,Navy Blue,Summer,2016.0,Casual,DC Comics Men Blue Printed Lounge Pants,http://assets.myntassets.com/v1/images/style/properties/54e5487f6b84af323af9ce1e9c36cb2a_images.jpg
22555,Men,Personal Care,Fragrance,Deodorant,Black,Spring,2017.0,Casual,Reebok Men Reespeed Deo,http://assets.myntassets.com/v1/images/style/properties/ef4b7992bcea7fbd68f8c50e2c9b9e89_images.jpg
32860,Unisex,Accessories,Bags,Backpacks,Blue,Summer,2012.0,Casual,Wildcraft Unisex Blue & Grey Backpack,http://assets.myntassets.com/v1/images/style/properties/e5f34912e6d1caa6f7eaa29c79594917_images.jpg
12929,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Classic Polo Men Narrow Stripes Blue Tshirts,http://assets.myntassets.com/v1/images/style/properties/b5daeff0116c737362d151d969461be1_images.jpg
5532,Men,Footwear,Shoes,Sports Shoes,White,Summer,2011.0,Sports,Nike Men's Zoom Structure White Shoe,http://assets.myntassets.com/v1/images/style/properties/d89e913a1a3c3ad1edb3f76b100cfead_images.jpg
14100,Men,Apparel,Topwear,Tshirts,Purple,Fall,2011.0,Casual,Flying Machine Men Printed Purple Tshirts,http://assets.myntassets.com/v1/images/style/properties/83eb07a507fed544484b5c059cebd5ee_images.jpg
33997,Women,Apparel,Dress,Dresses,Purple,Summer,2012.0,Casual,Femella Women Purple & Black Dress,http://assets.myntassets.com/v1/images/style/properties/858bc561e52253702cd504d907a4855b_images.jpg
35024,Women,Accessories,Stoles,Stoles,Mustard,Summer,2012.0,Casual,Fabindia Women Mustard Chanderi Hand Printed Stole,http://assets.myntassets.com/v1/images/style/properties/ca81be6e5fbd56128ef808610e415978_images.jpg
44865,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Casual,Puma Men Grey & White Polo T-shirt,http://assets.myntassets.com/v1/images/style/properties/42d12d196f22c535cedd9e51cc914ac6_images.jpg
55062,Women,Personal Care,Lips,Lipstick,Red,Spring,2017.0,,Lakme Enrich Satins Lipstick 422,http://assets.myntassets.com/v1/images/style/properties/Lakme-Enrich-Satins-Lipstick-422_84e20b417aff0bbe5e27c5cf1d4629ef_images.jpg
56092,Women,Personal Care,Lips,Lip Gloss,Purple,Spring,2017.0,Casual,Colorbar Splendor Star Lip Gloss 015,http://assets.myntassets.com/assets/images/56092/2019/1/11/6230a984-ecce-4dc6-92b1-8ff11ab9d2541547192171517-Colorbar-Splendor-Star-Lip-Gloss-015-6271547192171465-1.jpg
57086,Women,Apparel,Bottomwear,Skirts,Pink,Summer,2012.0,Casual,Elle Women Pink Vintage Skirt,http://assets.myntassets.com/v1/images/style/properties/Elle-Women-Pink-VINTAGE-Skirt_fe993ea5a344bf23cb7d0b3bbc853653_images.jpg
23588,Men,Personal Care,Fragrance,Deodorant,Purple,Spring,2017.0,Casual,Nike Fragrances Men Original Deo,http://assets.myntassets.com/v1/images/style/properties/a1bd937c2ce7f5fc5b06e5dc1b031621_images.jpg
22618,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Sports,Nike Men Blue T-shirt,http://assets.myntassets.com/v1/images/style/properties/8fc744b921dc576750abecdd75e7c1a9_images.jpg
15503,Women,Footwear,Shoes,Casual Shoes,Black,Fall,2011.0,Casual,Carlton London Women Casual Black Casual Shoes,http://assets.myntassets.com/v1/images/style/properties/d6ac3be05919b013e1d32ab71ca91205_images.jpg
57277,Men,Apparel,Topwear,Shirts,Red,Summer,2012.0,Casual,French Connection Men Red Check Shirt,http://assets.myntassets.com/v1/images/style/properties/French-Connection-Men-Multi-Coloured-Shirt_bcb4d12ddb9241919524974393597ed9_images.jpg
26157,Men,Apparel,Bottomwear,Trousers,Black,Summer,2012.0,Formal,John Miller Men Black Trousers,http://assets.myntassets.com/v1/images/style/properties/bf8b061832f274c7583b260f9088d77b_images.jpg
36063,Unisex,Accessories,Bags,Backpacks,Olive,Summer,2012.0,Casual,OTLS Unisex Olive Green Backpack,http://assets.myntassets.com/v1/images/style/properties/OTLS-Unisex-Olive-Bag_41a57a06c7e9bb1faa4deea1ee2b2c1c_images.jpg
24613,Women,Apparel,Topwear,Kurtas,Red,Fall,2011.0,Ethnic,Vishudh Women Red Printed Kurta,http://assets.myntassets.com/v1/images/style/properties/357850b17b1c7926840fb2eaa0483a6a_images.jpg
16413,Men,Apparel,Topwear,Tshirts,Green,Fall,2011.0,Casual,Levi's Men Stripes Green Tshirts,http://assets.myntassets.com/v1/images/style/properties/23bb8c1a70896371c63115b2b503e01f_images.jpg
7756,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Casual,Indigo Nation Men Indigo Black Grey Silver T-shirt,http://assets.myntassets.com/v1/images/style/properties/01dd5347f1da148ca81e7ac688ccebc0_images.jpg
40371,Women,Apparel,Bottomwear,Jeans,Navy Blue,Summer,2012.0,Casual,Tokyo Talkies Women Navy Slim Fit Jeans,http://assets.myntassets.com/v1/images/style/properties/a6ea6713bae041ef4f62d3612586d1ef_images.jpg
26414,Men,Apparel,Topwear,Shirts,Green,Summer,2012.0,Casual,Turtle Men Check Green Shirt,http://assets.myntassets.com/v1/images/style/properties/0122e3d871b75213ffa4cbba62164a57_images.jpg
19532,Men,Apparel,Topwear,Sweaters,Red,Summer,2011.0,Casual,United Colors of Benetton Men Solid Red Sweater,http://assets.myntassets.com/v1/images/style/properties/ffb0d64fc6095e5cc3c0c2f82e6a2069_images.jpg
43956,Women,Footwear,Sandal,Sports Sandals,Purple,Summer,2012.0,Casual,Puma Women Purple Techno Sandals,http://assets.myntassets.com/v1/images/style/properties/ab1244dde780b3a3275ff5ace796ecf3_images.jpg
24918,Women,Apparel,Topwear,Tops,Black,Summer,2012.0,Casual,United Colors of Benetton Women Black Top,http://assets.myntassets.com/v1/images/style/properties/4e441c1fd8bbc0fa1f8812fe95cccc4a_images.jpg
26285,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2012.0,Casual,Proline Men Navy T-shirt with Printed Detail,http://assets.myntassets.com/v1/images/style/properties/5bf912fbcc2361b030bfb7fdae969ce9_images.jpg
41354,Women,Apparel,Bottomwear,Jeans,Black,Summer,2012.0,Casual,Wrangler Women Black Giselle Jeans,http://assets.myntassets.com/v1/images/style/properties/a5aecf47ccdb3a913190fdc00185349a_images.jpg
31210,Women,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,Nike Women Air Propel White Sports Shoes,http://assets.myntassets.com/v1/images/style/properties/c3b5f61c27a36f2c9288c1a00c7e7c11_images.jpg
53398,Women,Apparel,Topwear,Kurtas,Maroon,Fall,2012.0,Ethnic,Alma Women Maroon Printed Kurta,http://assets.myntassets.com/v1/images/style/properties/Alma-Women-Maroon-Printed-Kurta_c6fa5b328d79d539bd32aec3d7b98cd2_images.jpg
19751,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,Levi's Men Solid Grey Tshirt,http://assets.myntassets.com/v1/images/style/properties/d81d968256f5887c1a12f563fbf21e58_images.jpg
49715,Men,Accessories,Ties,Ties,Black,Summer,2012.0,Casual,Park Avenue Men Black Tie,http://assets.myntassets.com/v1/images/style/properties/Park-Avenue-Men-Black-Tie_d8a7d8d3a446d75da454e785db6269dd_images.jpg
22351,Men,Apparel,Topwear,Shirts,Green,Fall,2011.0,Casual,John Players Men Check Green Shirt,http://assets.myntassets.com/v1/images/style/properties/ebf99012653dcb6cd200ff07b09a2aae_images.jpg
55974,Women,Personal Care,Lips,Lipstick,Purple,Spring,2017.0,Casual,ColorBar Velvet Matte Special Mauve Lipstick 64M,http://assets.myntassets.com/assets/images/55974/2019/1/11/2f91e4da-0a45-4608-a1cd-3f70b4af8de11547189987210-ColorBar-Velvet-Matte-Special-Mauve-Lipstick-64M-27615471899-1.jpg
